Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Afghanistan","AFG","50.331","55.841","61.028","61.553","62.054","62.525","62.966","63.377","63.763","64.13","64.486",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Albania","ALB","71.836","73.955","76.562","76.914","77.252","77.554","77.813","78.025","78.194","78.333","78.458",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Algeria","DZA","66.938","70.64","74.938","75.199","75.436","75.661","75.878","76.09","76.298","76.499","76.693",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","American Samoa","ASM","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Andorra","AND","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Angola","AGO","45.306","46.522","55.35","56.33","57.236","58.054","58.776","59.398","59.925","60.379","60.782",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Antigua and Barbuda","ATG","71.52","73.94","75.823","75.956","76.087","76.218","76.349","76.483","76.617","76.752","76.885",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Argentina","ARG","71.594","73.576","75.278","75.439","75.598","75.756","75.913","76.068","76.221","76.372","76.52",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Armenia","ARM","67.879","71.409","73.331","73.572","73.82","74.056","74.273","74.467","74.64","74.797","74.945",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Aruba","ABW","73.468","73.787","75.017","75.158","75.299","75.441","75.583","75.725","75.868","76.01","76.152",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Australia","AUS","76.9946341463415","79.2341463414634","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.3","82.4","82.4487804878049","82.5","82.7487804878049",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Austria","AUT","75.5682926829269","78.1268292682927","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.490243902439","81.190243902439","81.6414634146342","81.6439024390244","81.6926829268293",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Azerbaijan","AZE","64.827","66.763","70.938","71.234","71.506","71.768","72.022","72.266","72.493","72.693","72.864",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahamas, The","BHS","70.199","71.914","72.144","72.263","72.424","72.62","72.847","73.088","73.329","73.554","73.752",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahrain","BHR","72.39","74.44","76.057","76.2","76.342","76.484","76.624","76.762","76.899","77.032","77.163",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bangladesh","BGD","58.21","65.447","69.881","70.256","70.606","70.93","71.231","71.514","71.785","72.052","72.32",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Barbados","BRB","74.704","77.162","78.364","78.456","78.547","78.633","78.717","78.801","78.888","78.981","79.081",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belarus","BLR","70.8365853658537","68.9121951219512","70.4048780487805","70.5536585365854","71.9658536585366","72.4707317073171","72.9707317073171","73.6243902439025","73.8268292682927","74.1292682926829","74.1756097560976",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belgium","BEL","76.0519512195122","77.7219512195122","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","81.2878048780488","80.9926829268293","81.4390243902439","81.4926829268293","81.5951219512195",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belize","BLZ","71.242","68.847","72.057","72.57","73.044","73.452","73.782","74.034","74.219","74.365","74.496",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Benin","BEN","53.812","55.391","59.318","59.59","59.842","60.092","60.345","60.608","60.885","61.174","61.47",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bermuda","BMU","","77.8853658536585","79.2885365853658","81.1526829268293","81.6778048780488","80.5724390243902","80.7973170731707","81.0121951219512","81.2270731707317","81.4419512195122","81.6517073170732",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bhutan","BTN","52.878","60.884","68.384","68.84","69.263","69.662","70.046","70.419","70.781","71.129","71.46",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bolivia","BOL","56.099","62.452","68.007","68.521","69.01","69.468","69.891","70.277","70.626","70.945","71.239",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bosnia and Herzegovina","BIH","70.877","74.403","76.031","76.219","76.401","76.569","76.723","76.865","76.998","77.128","77.262",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Botswana","BWA","59.191","50.629","60.211","61.91","63.511","64.976","66.265","67.338","68.178","68.812","69.275",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brazil","BRA","66.343","70.116","73.619","73.921","74.209","74.483","74.745","74.994","75.23","75.456","75.672",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","British Virgin Islands","VGB","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brunei Darussalam","BRN","70.185","72.809","74.74","74.852","74.962","75.075","75.193","75.318","75.45","75.585","75.722",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bulgaria","BGR","71.6414634146342","71.6634146341463","73.5121951219512","74.1634146341463","74.3146341463415","74.8609756097561","74.4658536585366","74.6146341463415","74.8121951219512","74.8146341463415","74.9634146341464",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Burkina Faso","BFA","49.454","50.489","57.096","57.761","58.374","58.937","59.45","59.919","60.354","60.768","61.174",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Burundi","BDI","47.829","49.091","57.228","57.925","58.568","59.148","59.665","60.123","60.528","60.898","61.247",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cabo Verde","CPV","64.676","68.583","71.062","71.243","71.445","71.661","71.886","72.117","72.347","72.57","72.782",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cambodia","KHM","53.595","58.432","66.56","67.043","67.48","67.888","68.273","68.637","68.977","69.289","69.57",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cameroon","CMR","53.362","50.993","55.101","55.581","56.073","56.576","57.083","57.583","58.063","58.511","58.921",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Canada","CAN","77.4219512195122","79.1365853658537","81.2463414634146","81.4487804878049","81.6487804878049","81.7487804878049","81.8","81.9","81.9","81.9487804878049","81.9487804878049",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cayman Islands","CYM","","","82.190243902439","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Central African Republic","CAF","49.104","44.19","47.312","47.95","48.638","49.371","50.129","50.881","51.593","52.24","52.805",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Chad","TCD","47.019","47.713","50.89","51.424","51.928","52.386","52.789","53.137","53.438","53.712","53.977",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Channel Islands","CHI","75.41","79.037","81.483","81.688","81.883","82.071","82.252","82.429","82.6","82.766","82.928",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Chile","CHL","73.509","76.366","78.779","78.986","79.176","79.349","79.504","79.646","79.779","79.909","80.042",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","China","CHN","69.145","71.397","74.409","74.708","75.013","75.321","75.629","75.928","76.21","76.47","76.704",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Colombia","COL","69.75","72.945","75.424","75.655","75.882","76.105","76.322","76.531","76.732","76.925","77.109",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Comoros","COM","56.677","59.46","61.862","62.24","62.595","62.922","63.214","63.471","63.7","63.912","64.118",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Congo, Dem. Rep.","COD","49.043","50.041","56.909","57.427","57.914","58.381","58.828","59.254","59.655","60.026","60.368",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Congo, Rep.","COG","54.638","52.123","60.093","60.785","61.423","62.022","62.582","63.097","63.556","63.954","64.29",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Costa Rica","CRI","75.654","77.452","78.769","78.919","79.074","79.234","79.398","79.565","79.738","79.914","80.095",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cote d'Ivoire","CIV","53.254","49.635","52.964","53.62","54.271","54.906","55.508","56.065","56.567","57.017","57.422",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Croatia","HRV","72.1704878048781","72.8078048780488","76.4756097560976","76.7756097560976","76.9243902439024","77.1268292682927","77.4780487804878","77.2756097560976","78.0219512195122","77.8268292682927","78.0707317073171",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cuba","CUB","74.638","76.699","78.338","78.4","78.446","78.485","78.521","78.561","78.607","78.662","78.726",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Curacao","CUW","","","","77.4731707317073","77.5243902439024","77.8268292682927","77.9756097560976","78.0756097560976","77.719512195122","78.0170731707317","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cyprus","CYP","76.554","78.009","79.43","79.621","79.812","79.999","80.178","80.35","80.513","80.672","80.828",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Czech Republic","CZE","71.3839024390244","74.9682926829268","77.4243902439025","77.8731707317073","78.0756097560976","78.1756097560976","78.8243902439024","78.5780487804878","79.0268292682927","78.9780487804878","79.0292682926829",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Denmark","DNK","74.8053658536585","76.5926829268293","79.1","79.8","80.0512195121951","80.3","80.7","80.7024390243902","80.8536585365854","81.1024390243903","80.9536585365854",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Djibouti","DJI","56.678","57.022","60.062","60.667","61.395","62.239","63.171","64.136","65.064","65.893","66.582",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominica","DMA","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","66.574","69.429","72.046","72.284","72.523","72.763","73.003","73.241","73.471","73.689","73.892",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ecuador","ECU","68.899","72.761","75.089","75.289","75.495","75.707","75.923","76.143","76.365","76.584","76.8",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Egypt, Arab Rep.","EGY","64.572","68.602","70.349","70.543","70.736","70.928","71.117","71.302","71.482","71.656","71.825",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","El Salvador","SLV","64","68.875","71.21","71.449","71.692","71.935","72.175","72.412","72.644","72.872","73.096",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Equatorial Guinea","GNQ","48.775","53.279","55.622","55.945","56.288","56.642","57.001","57.359","57.713","58.061","58.402",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eritrea","ERI","49.588","55.273","62.193","62.732","63.238","63.726","64.201","64.664","65.111","65.538","65.941",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Estonia","EST","69.4756097560976","70.4170731707317","75.4292682926829","76.2292682926829","76.3268292682927","77.1414634146341","77.0341463414634","77.590243902439","77.6414634146342","78.0926829268293","78.2439024390244",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eswatini","SWZ","61.95","47.49","46.601","48.141","49.862","51.699","53.569","55.359","56.962","58.319","59.401",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ethiopia","ETH","47.099","51.941","61.627","62.505","63.281","63.961","64.547","65.048","65.482","65.872","66.24",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Faroe Islands","FRO","76.1146341463415","78.4341463414634","80.5878048780488","80.8390243902439","81.090243902439","81.3414634146341","81.5926829268293","81.7951219512195","82.0463414634146","82.2975609756098","82.5487804878049",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Fiji","FJI","65.379","65.687","66.655","66.759","66.859","66.95","67.03","67.103","67.175","67.252","67.341",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Finland","FIN","74.8131707317073","77.4658536585366","79.8707317073171","80.4707317073171","80.6268292682927","80.9756097560976","81.1804878048781","81.4804878048781","81.4292682926829","81.6317073170732","81.7341463414634",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","France","FRA","76.6","79.0560975609756","81.6634146341463","82.1146341463415","81.9682926829268","82.219512195122","82.719512195122","82.3219512195122","82.5731707317073","82.5756097560976","82.7243902439024",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","French Polynesia","PYF","68.704","72.303","75.611","75.844","76.074","76.307","76.546","76.787","77.024","77.251","77.462",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gabon","GAB","60.965","58.264","61.4","62.168","62.924","63.648","64.318","64.913","65.418","65.839","66.187",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gambia, The","GMB","52.221","55.956","59.637","59.917","60.178","60.426","60.667","60.91","61.166","61.44","61.735",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Georgia","GEO","70.386","69.902","71.46","71.773","72.097","72.412","72.707","72.973","73.207","73.414","73.6",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Germany","DEU","75.227756097561","77.9268292682927","79.9878048780488","80.4365853658537","80.5390243902439","80.490243902439","81.090243902439","80.6414634146341","80.990243902439","80.9926829268293","80.8926829268293",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ghana","GHA","56.776","57.002","61.03","61.381","61.72","62.064","62.416","62.772","63.124","63.463","63.78",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gibraltar","GIB","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greece","GRC","76.9390243902439","77.8878048780488","80.3878048780488","80.7317073170732","80.6341463414634","81.2853658536585","81.3853658536585","81.0365853658537","81.3878048780488","81.2878048780488","81.7878048780488",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greenland","GRL","65.0682926829268","66.9634146341463","70.8570731707317","71.0624390243902","71.2990243902439","71.8304878048781","71.5384146341463","71.2463414634146","70.8487804878049","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Grenada","GRD","69.598","72.648","72.867","72.768","72.669","72.579","72.503","72.445","72.408","72.388","72.384",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guam","GUM","71.925","75.011","77.941","78.173","78.408","78.649","78.895","79.144","79.391","79.631","79.859",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guatemala","GTM","62.261","67.849","71.481","71.861","72.236","72.596","72.935","73.25","73.541","73.81","74.063",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea","GIN","49.987","51.203","56.861","57.387","57.905","58.447","59.016","59.598","60.17","60.706","61.185",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea-Bissau","GNB","47.095","50.368","54.628","55.144","55.645","56.117","56.556","56.959","57.328","57.673","58.003",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guyana","GUY","63.287","65.242","68.059","68.321","68.575","68.819","69.049","69.262","69.454","69.624","69.774",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","54.265","57.131","60.511","60.879","61.26","61.658","62.069","62.485","62.896","63.29","63.66",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Honduras","HND","66.723","70.689","73.317","73.569","73.814","74.051","74.278","74.495","74.701","74.898","75.088",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hong Kong SAR, China","HKG","77.3804878048781","80.8780487804878","82.9780487804878","83.4219512195122","83.4804878048781","83.8317073170732","83.9804878048781","84.2780487804878","84.2268292682927","84.6804878048781","84.9341463414634",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hungary","HUN","69.3156097560976","71.2463414634146","74.2073170731707","74.8585365853659","75.0634146341463","75.5658536585366","75.7634146341463","75.5682926829269","76.0634146341464","75.8170731707317","76.0658536585366",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iceland","ISL","78.0363414634146","79.6536585365854","81.8975609756098","82.3585365853659","82.9170731707317","82.0609756097561","82.8609756097561","82.4682926829268","82.2048780487805","82.6609756097561","82.8609756097561",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","India","IND","57.865","62.505","66.693","67.13","67.545","67.931","68.286","68.607","68.897","69.165","69.416",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Indonesia","IDN","62.32","65.772","69.205","69.542","69.866","70.179","70.481","70.768","71.035","71.282","71.509",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iran, Islamic Rep.","IRN","63.837","70.176","73.905","74.352","74.776","75.162","75.502","75.796","76.047","76.271","76.479",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iraq","IRQ","66.011","69.082","68.567","68.848","69.148","69.437","69.7","69.929","70.122","70.294","70.454",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ireland","IRL","74.8090975609756","76.5365853658537","80.7439024390244","80.7463414634146","80.8463414634146","80.9487804878049","81.3487804878049","81.4536585365854","81.6536585365854","82.1560975609756","82.2560975609756",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Isle of Man","IMN","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Israel","ISR","76.6073170731707","78.9536585365854","81.6024390243903","81.6560975609756","81.7048780487805","82.0560975609756","82.1536585365854","82.0512195121951","82.4073170731707","82.5512195121951","82.8024390243903",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Italy","ITA","76.9707317073171","79.7780487804878","82.0365853658537","82.1878048780488","82.2390243902439","82.690243902439","83.090243902439","82.5439024390244","83.2439024390244","82.9463414634147","83.3463414634146",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jamaica","JAM","73.204","74.142","74.038","74.012","74.001","74.01","74.042","74.098","74.175","74.267","74.368",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Japan","JPN","78.8368292682927","81.0760975609756","82.8426829268293","82.5912195121951","83.0960975609756","83.3319512195122","83.5878048780488","83.7939024390244","83.9848780487805","84.099756097561","84.2109756097561",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jordan","JOR","69.872","71.73","73.428","73.581","73.722","73.851","73.969","74.078","74.184","74.292","74.405",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kazakhstan","KAZ","68.3365853658537","65.5170731707317","68.2953658536585","68.98","69.61","70.45","71.62","72","72.3","72.95","73.15",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kenya","KEN","57.406","50.921","60.959","61.851","62.659","63.419","64.135","64.798","65.393","65.909","66.342",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kiribati","KIR","59.636","63.144","65.769","66.072","66.381","66.69","66.995","67.291","67.577","67.851","68.116",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Dem. People’s Rep.","PRK","69.896","65.268","69.571","70.012","70.454","70.853","71.198","71.481","71.711","71.91","72.095",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Rep.","KOR","71.5975609756098","75.909756097561","80.1170731707317","80.5682926829269","80.819512195122","81.2707317073171","81.7219512195122","82.0243902439024","82.2756097560976","82.6268292682927","82.6268292682927",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kosovo","XKX","67.7487804878049","67.9512195121951","69.9","70.1487804878049","70.4975609756098","70.7975609756098","71.0975609756098","71.3463414634146","71.6463414634146","71.9463414634146","72.1951219512195",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kuwait","KWT","72.15","73.142","74.358","74.55","74.728","74.885","75.019","75.13","75.224","75.311","75.398",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kyrgyz Republic","KGZ","68.2975609756098","68.5585365853659","69.3","69.6024390243903","70.0024390243902","70.2024390243902","70.4024390243902","70.6512195121951","70.9512195121951","71.2","71.4",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lao PDR","LAO","53.364","58.803","64.306","64.797","65.267","65.717","66.144","66.546","66.924","67.277","67.61",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latvia","LVA","69.2731707317073","70.3146341463415","73.4829268292683","73.5756097560976","73.7780487804878","73.9829268292683","74.1243902439024","74.4804878048781","74.580487804878","74.6292682926829","74.7829268292683",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lebanon","LBN","70.266","74.507","78.36","78.507","78.611","78.683","78.732","78.768","78.8","78.833","78.875",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lesotho","LSO","59.837","47.691","45.1","46.207","47.416","48.663","49.891","51.038","52.059","52.947","53.705",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liberia","LBR","46.046","51.734","59.6","60.146","60.663","61.186","61.723","62.269","62.802","63.295","63.73",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Libya","LBY","68.503","70.852","72.044","71.956","71.901","71.907","71.981","72.121","72.311","72.52","72.724",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liechtenstein","LIE","","76.8268292682927","81.8414634146342","81.7926829268293","82.3829268292683","82.2609756097561","82.0731707317073","82.6560975609756","82.2585365853659","83.7463414634147","83.0414634146342",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lithuania","LTU","71.1607317073171","72.0195121951219","73.2682926829268","73.5634146341464","73.8634146341464","73.9146341463415","74.5170731707317","74.3219512195122","74.6707317073171","75.4804878048781","75.6804878048781",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Luxembourg","LUX","75.0104146341463","77.8731707317073","80.6317073170732","80.9878048780488","81.3926829268293","81.8","82.2292682926829","82.2926829268293","82.6853658536585","82.0951219512195","82.2951219512195",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Macao SAR, China","MAC","77.296","80.407","82.704","82.938","83.158","83.361","83.543","83.707","83.854","83.989","84.118",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Madagascar","MDG","51.003","58.485","63.388","63.836","64.28","64.713","65.133","65.539","65.931","66.311","66.681",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malawi","MWI","46.096","45.09","55.564","57.161","58.629","59.931","61.042","61.953","62.681","63.279","63.798",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malaysia","MYS","70.865","72.594","74.493","74.683","74.877","75.072","75.268","75.461","75.649","75.828","75.997",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Maldives","MDV","61.529","70.173","75.905","76.293","76.664","77.018","77.36","77.691","78.013","78.325","78.627",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mali","MLI","45.746","48.069","55.251","55.701","56.135","56.578","57.036","57.509","57.987","58.452","58.893",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malta","MLT","76.7860731707317","78.3487804878049","81.3975609756098","80.7463414634146","80.7463414634146","81.7463414634146","82.0463414634146","81.8975609756098","82.4536585365854","82.3463414634146","82.4487804878049",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Marshall Islands","MHL","","65.2390243902439","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mauritania","MRT","59.688","60.706","62.527","62.799","63.079","63.366","63.654","63.936","64.208","64.464","64.704",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mauritius","MUS","69.4048780487805","71.6634146341463","72.9673170731707","73.2668292682927","73.8634146341464","74.0170731707317","74.1943902439024","74.3531707317073","74.3948780487805","74.5146341463415","74.4163414634146",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mexico","MEX","70.866","74.34","75.065","75.011","74.966","74.93","74.908","74.904","74.917","74.947","74.992",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Micronesia, Fed. Sts.","FSM","63.605","64.55","66.471","66.646","66.817","66.986","67.152","67.315","67.471","67.618","67.755",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Moldova","MDA","67.643","67.006","69.616","70.119","70.581","70.968","71.267","71.478","71.617","71.717","71.808",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Monaco","MCO","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mongolia","MNG","60.268","62.869","67.38","67.818","68.217","68.566","68.863","69.111","69.321","69.509","69.689",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Montenegro","MNE","74.627","73.228","75.151","75.505","75.823","76.089","76.297","76.452","76.568","76.667","76.77",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Morocco","MAR","64.732","68.684","74.382","74.696","74.97","75.227","75.477","75.726","75.974","76.218","76.453",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mozambique","MOZ","45.261","48.946","52.31","53.043","53.931","54.949","56.062","57.206","58.309","59.309","60.163",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Myanmar","MMR","56.849","60.063","63.525","63.983","64.453","64.921","65.378","65.81","66.205","66.558","66.867",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Namibia","NAM","61.608","52.192","56.665","58.085","59.387","60.513","61.425","62.119","62.625","63.021","63.373",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nauru","NRU","","","","","","","","","","","",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nepal","NPL","54.404","62.288","67.611","68.028","68.426","68.806","69.168","69.515","69.848","70.169","70.478",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Netherlands","NLD","76.8780487804878","77.9878048780488","80.7024390243902","81.2048780487805","81.1048780487805","81.3048780487805","81.7073170731707","81.509756097561","81.5609756097561","81.7609756097561","81.8121951219512",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","New Caledonia","NCL","70.4853658536586","75.1634146341463","77.2591221344293","76.6468353787517","77.0690703645998","77.1762108738893","77.2528725957226","77.2443035079364","76.9615007371216","77.1487804878049","77.1487804878049",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","New Zealand","NZL","75.3780487804878","78.6365853658537","80.7024390243902","80.9048780487805","81.1560975609756","81.4073170731707","81.4048780487805","81.4568292682927","81.6124390243903","81.6585365853659","81.8585365853659",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nicaragua","NIC","64.293","69.527","72.428","72.692","72.951","73.197","73.429","73.649","73.86","74.068","74.275",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Niger","NER","43.538","49.928","57.333","58.081","58.79","59.455","60.07","60.631","61.137","61.599","62.024",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nigeria","NGA","45.9","46.267","50.896","51.346","51.786","52.228","52.672","53.112","53.541","53.95","54.332",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","North Macedonia","MKD","71.152","73.267","74.662","74.846","75.019","75.171","75.299","75.406","75.498","75.589","75.688",""
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Northern Mariana Islands","MNP","","","","","","","","","","","",""
